Title                                    , Released year, Duration, Genre          , Language       , Description
Brahmāstra Part One: Shiva               ,          2022, 2h 48m  , Fantasy        , Hindi          , "A journey of fantasy, action and romance comes to life as Shiva enters the Astraverse! He discovers true love and also, the power of fire within him."
Govinda Naam Mera                        ,          2022, 2h 11m  , Comedy         , Comedy         , "Wedged between a court case, a bad marriage and his girlfriend, Govinda Waghmare gets further entangled in incidents complicating his already tangled world."
Sita Ramam                               ,          2022, 2h 33m  , Romance        , Romance        , "On a letter-delivering task, Afreen learns of a 20-year-old romance set amidst a war. Her quest to trace the lovers makes her embrace humanity beyond borders."
Ved                                      ,          2022, 2h 36m  , Romance        , Hindi          , "Retreating from a failed romance, Satya drowns in alcoholism. But when he marries a neighbourhood girl Shravani, her unconditional love offers him redemption."
Selfiee                                  ,          2023, 2h 22m  , Comedy         , Comedy         , "RTO officer Om Prakash strikes a golden opportunity to meet his icon, Vijay Kumar. But when his love gets spurned by the superstar, a clash of egos ensues."
Liger - Saala Crossbreed                 ,          2022, 2h 18m  , Action         , Hindi          , "A brave-hearted Liger works his way up to find his dream spot in the MMA world. But, his life gets complicated when he crosses paths with Taniya."
Shiddat                                  ,          2021, 2h 26m  , Romance        , Romance        , "Love-struck Jaggi can cross the seven seas for his dream girl, Kartika. Even if it means stopping her wedding."
Kirtan                                   ,          2023, 2h 9m   , Family         , Family         , "For a better future, Manimala wishes to move to a modern house. But her grumpy father-in-law is too connected to the ancestral home. And this sparks a feud!"
Cuttputlli                               ,          2022, 2h 14m  , Mystery        , Mystery        , "When a small town gets plunged into the nightmare of serial killings, rookie cop Arjan embarks on a chase for the truth and unravels a gruesome conspiracy."
Vikram                                   ,          2022, 2h 51m  , Action         , Hindi          , A covert investigation changes its course when special officer Amar encounters an unrelenting Vikram and his pursuit to take down a notorious drug cartel.
Cadaver                                  ,          2022, 1h 59m  , Thriller       , Hindi          , A high-profile murder baffles the cops when a prison inmate claims responsibility and promises more deaths. Will police surgeon Bhadra crack this mystery?
Hum Do Hamare Do                         ,          2021, 2h 8m   , Comedy         , Comedy         , Self-made man Dhruv and social media star Anya fall in love and decide to marry. Just one problem - he's an orphan. The only solution - make a fake family.
