title,released_year,duration,genre,description,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,api_error,totalSeasons,imageid,format
Waqt                                     ,1965,2h 58m  ,Drama          ,"Separated in childhood, three brothers come together in the courtroom. How will this reunion go?",N/A,28 Jul 1965,178 min,"Drama, Romance",Yash Chopra,"Akhtar Mirza, Akhtar-Ul-Iman","Sunil Dutt, Sadhana Shivdasani, Raaj Kumar","Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected.",Hindi,India,5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZjVmZGRkYjAtZDliMi00ZTE3LTgwZmQtZGJiZDI4MmZmNDFiXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}]",N/A,7.6,"1,555",tt0059893,movie,N/A,N/A,N/A,N/A,,,0001,
Badrinath Yatra                          ,1967,2h      ,Crime          ,"Satyavati's pilgrim to Badrinath gets cancelled due to her son's illicit acts. As his atrocious behaviour grows by the day, what will she do?",N/A,01 Jan 1967,140 min,"Crime, Drama",Dhirubhai Desai,"Dhirubhai Desai, Pandit Raj Yogi","Nirupa Roy, Abhi Bhattacharya, Indira","Due to her son's, Devdutt's arrest, Satyavati is unable to take the Badrinath Yatra. Subsequently, he starts to frequent a brothel to visit with a courtesan, Chandravati, and virtually refuses to do anything with his pregnant wife, Sheila. He even drinks alcohol, and assaults his father, Jaggannath, and brother, Sridhar. Things get even worse when he blinds his mother, lets Chandravati and her entourage move in their family home, and asks Sheila to serve the courtesan.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMGU4YTNmODEtMDc0ZS00ZjFhLTg4ZDYtNWRhMjc5OTc1ZjEyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,[],N/A,N/A,11,tt0213476,movie,N/A,N/A,N/A,N/A,,,0002,
Zameer                                   ,1975,2h 9m   ,Action         ,"Thakur Maharaj Singh loses his son during a robbery. Years later, a man named Chimpoo claims his right as his son. Will he turn out to be an impostor?",N/A,21 Mar 1975,136 min,"Action, Drama",Ravi Chopra,"Akhtar-Ul-Iman, C.J. Pavri","Shammi Kapoor, Saira Banu, Amitabh Bachchan","Multi-millionaire Thakur Maharaj Singh owns a stud-farm with several derby-winning stallions. Unfortunately for him his farm is soon attacked by Bandit, Maan Singh and his gang forcing Maharaj to retaliate killing the son of the Daku. In order to avenge this Maan Singh decides to abduct the son of Maharaj, Chimpoo. Years later a young man enters the lives of the Singhs claiming to be Chimpoo; while Maharaj and his wife, Rukmini is happy in having Chimpoo back; they are unaware that this young man is actually a convict, Badal who is impersonating Chimpoo with the intention of pocketing their wealth. Situations change Badal and he decides to reveal his true identity to the Singhs who also promises to re-unite the family with their son, Chimpoo.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BYmYzNTdhZjEtNTYzNC00ODEwLTgyYWQtYmUxNzAyNWRmMGRlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.0/10""}]",N/A,6.0,418,tt0073924,movie,N/A,N/A,N/A,N/A,,,0003,jpg
Chhoti Si Baat                           ,1976,1h 58m  ,Comedy         ,"A shy Arun takes the help of a retired colonel to impress his lady love, Prabha. Will he succeed in his endeavours?",N/A,09 Jan 1976,123 min,"Comedy, Romance",Basu Chatterjee,N/A,"Ashok Kumar, Vidya Sinha, Amol Palekar","A shy Arun works as an accountant.On daily basis he travels by a bus to office where he sees Prabha who works in the same premises.Arun starts to like Prabha and follows her frequently but hasn't got the confidence in him to approach her.When ever Arun gains confidence to share about his feelings to Prabha her friend Nagesh steps in spoiling Arun's plans.In order to win his love for Prabha ,Arun travels all the way to Lonavala to take the help of expert Colonel Julius Naganderanath Wilfred Singh. During this phase Prabha to starts missing Arun.",Hindi,India,2 nominations,https://m.media-amazon.com/images/M/MV5BNGQyNGFmZmYtZjhiNi00YmZkLWJmYTMtODkzN2I4YmNiOTdiXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.3/10""}]",N/A,8.3,"4,645",tt0072777,movie,N/A,N/A,N/A,N/A,,,0004,jpg
Main Tulsi Tere Aangan Ki                ,1978,2h 26m  ,Drama          ,"Sanjukta wholeheartedly raises Ajay, her husband’s illegitimate son, as her own. All is well until property division creates a crack in relationships.",N/A,04 Aug 1978,151 min,"Drama, Family",Raj Khosla,"Raj Bharti, Chandrakant Kakodkar, G.R. Kamath","Nutan, Asha Parekh, Vijay Anand","Thakur Rajnath Singh Chouhan, an aristocrat loves dearly a former prostitute, Tulsi and wishes to marry her. His mother vehemently opposes the alliance. In a spirit of self denial, Tulsi pressurizes Thakur Rajnath to marry the aristocratic Sanjukta, his mother's choice. Thakur Rajnath marries Sanjukta but his heart is pledged to Tulsi. Sanjukta learns of Tulsi's existence and after a confrontation Tulsi agrees to remove herself from the scene. A son Ajay was born and Tulsi dies. Sajnjukta realizes the enormity of Tulsi's sacrifices and pledges to deliver justice to her husband's illegitimate son, even after the accidental demise of Rajnath. Pratap, the son of Sanjukta and Rajnath grows up to be a dissolute spendthrift, frequenting a house of ill repute and flirting with the women of the village. Enter Ajay, now grown up into a personable and competent man; Sanjukta gives him all the love, respect and trust given to a first born. She is utterly shocked to see proof that Ajay has been embezzling money from their business, stolen money from the palace, pays huge sums of money to a Madame for the services of a woman and gets a village girl pregnant. Now what are Sanjukta's choices? Shall she disinherit him and welsh on her pledge?",Hindi,India,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BYzAyYTg4MjgtM2FmMC00ZTgzLTlkYjItNWJkM2M1MTI3MzU1XkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.6/10""}]",N/A,6.6,171,tt0151466,movie,N/A,N/A,N/A,N/A,,,0005,jpg
Nikaah                                   ,1982,2h 24m  ,Romance        ,Afaque falls for Nilofar but is left devastated when she marries another man. Things take a turn when Nilofar enters his life again after her divorce.,N/A,24 Sep 1982,152 min,"Drama, Romance",B.R. Chopra,"Ram Kumar, Achala Nagar, Rahi Masoom Reza","Raj Babbar, Deepak Parashar, Govardhan Asrani","Afaque, Saif and Niloufer are college mates. Afaque wins a 10 Rupee bet with Saif, that he will be able to touch Niloufer. Afaque has a serious crush on Niloufer who does not reciprocate. Afaque however nurses his crush and is rather charming in his attempts to draw Nilofer's attention. Niloufer (Salma Agha) an attractive but quite haughty co-ed asks Afaque (Raj Babbar) to entertain the outgoing batch with his ghazals and that is the only time, when the two actually have a meaningful exchange. Time goes by and the college mates come together again. Saif (Asrani) is now a dissolute magazine editor, alcoholic and womaniser. Niloufer is divorced by Nawab Wasim (Deepak Parasher), a debonair, workacholic and self centred man. Afaque, a publisher of Urdu poetry is single while keeping the flame of his love for Niloufer alive in his heart. The story takes us through details of Sharia (muslim) law regarding divorce and remarriage. Niloufer habitually keeps a diary, which proves to be her undoing. Does she still love her her ex-husband? On her birthday she receives a present from her doting husband, a present that is so utterly unexpected and an utterly selfless sacrifice. A proposal to replace the word Talaq - which, if repeated thrice results in divorce with another word, which should be repeated time and time again in a marriage is the denouement of the film.",Urdu,India,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMWExNzI4YTAtY2ZiZi00YzNhLWE3OWEtMzU1OGUzNjFmMDc5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.8/10""}]",N/A,6.8,306,tt0158827,movie,N/A,N/A,N/A,N/A,,,0006,
Ghar Dwaar                               ,1985,2h 23m  ,Family         ,"Savitri is humiliated at her in-laws' house. Unable to take it anymore, she vows revenge on her in-laws and decides to turn their home into a battleground.",N/A,14 Aug 1985,153 min,Drama,Kalpataru,N/A,"Tanuja Samarth, Sachin Pilgaonkar, Raj Kiran","Dhanraj resides with his two brothers, Chander and Ketan, his sister, Asha, and wife, Savitri, in their family home. Dhanraj wants Chander and Ketan to study and get better jobs, so he slogs away at work, and also finds part-time work to keep the in-flow to sustain his family and pay for their education. But this is not enough and a choice must be made to allow only one brother to carry on studying. Ketan feigns an illness and let's Chander continue on to become an engineer, and eventually gets married to the only daughter, Chanda, of a multi-millionaire widow. Things do not go as planned and Chanda and her mother face humiliation after humiliation at the hands of Dhanraj and his family. Chanda swears to avenge this by destroying the love that binds this family. Watch as Chanda works on each family member individually with the hopes of separating them and dividing their love - so that she can live alone with Chander.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BYzE5ODA3ODQtN2NlMi00YWU0LTgxYTgtYjZjOGY1M2I5M2RkXkEyXkFqcGdeQXVyNjc1MzY5NDU@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.1/10""}]",N/A,8.1,56,tt0231645,movie,N/A,N/A,N/A,N/A,,,0007,
Maa Beti                                 ,1987,2h 26m  ,Family         ,"Tired of her stepmother Lakshmi's ill-treatment, Meenu and her brother leave house. The tables turn when Lakshmi gets a taste of her own medicine.",,,,,,,,,,,,,,,,,,,,,,,Movie not found!,,0008,
Sagar Sangam                             ,1988,2h 39m  ,Crime          ,"Convicted in a case, criminal mastermind Gopi journeys towards his birthplace Devipur. As his trauma-filled past rears its head, he sets out to seek revenge.",N/A,02 Feb 1988,120 min,Drama,Dulal Guha,N/A,"Mithun Chakraborty, Shatrughan Sinha, Padmini Kolhapure",Ganga's husband is accused of robbery and sent to prison while outside the court a con men abducts her son and goes to sell it to Chagganlal but his wife Yashoda adopts the son as she is feels they are childless due to Chagganlal's crimes who forces kids to beg.Chagganlal gets arrested and jailed for a year when he comes out he takes Yashoda long with her leaving her son Gopi on his own whose raised by a criminal Ramu Ustad who has eyes of treasure of Devupur Temple.Years later Gopi turns to be a thief and gets arrested by Inspector Arjun Sharma where he is permitted from entry boundaries of Mumbai and goes to Devipur where he finds that Ganga is respected by every villagers and runs a temple trust but does not allow Gopi to enter the temple as he is a criminal.Gopi finds a Sister in Subhadra and falls in love with Radha he notices illegal activities in the village run by Dayal Das whose none other then Chagganlal and also recognizes Yashoda but is reluctant to approach due to his background..Arjun gets transferred to Devipur and finds truth about Gopi and Yadhoda and both team up to expose Dayal Das but Ramu Ustad reaches the village to rob the treasure while Arjun and Gopi find that there is one more person over Chagagnlal whose controlling everything.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BYTJlZDhkZDQtNWUwOS00Zjg1LWFjM2ItMmNlZGYxZmFjMTdiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.5/10""}]",N/A,6.5,41,tt0216171,movie,N/A,N/A,N/A,N/A,,,0009,
Bade Ghar Ki Beti                        ,1989,2h 21m  ,Family         ,Poor girl Mala marries rich boy Gopal at the behest of his father. But her married life is far from smooth.,N/A,07 Apr 1989,138 min,Drama,Kalpataru,"Kader Khan, K.B. Pathak, Mohanji Prasad","Shammi Kapoor, Rishi Kapoor, Meenakshi Sheshadri","Thakur Din Dayal is a family and village patriarch living with his wife and three married sons Murli,Manohar and Girdhar who do nothing but enjoy his wealth while other son Gopal and daughter Pushpa are till not married.Thakur comes across Mala whose daughter of his employer he gets touched by her nature and wants her to marry Gopal.But his three daughter in laws feel that Mala isn't of their status but Thakur still marries her to Gopal.After their marriage Gopal and Mala are living happily while Thakurain for the first time feels how good a daughter in law could be as the elder daughters in laws never cared for her.Things are going well but suddenly Thakur suffers an heart attack an is critical and prepares his will,while in hospital Murli,Manohar,Girdhar and their wives take this opportunity and divide Thakur's wealth among st them keeping Gopal and Mala aside.After Thakur returns he isn't able to bear what his sons have done and passes away the brother also remove Gopal and Mala from the house leaving them no where.While their mother is left at the mercy of God and made to do all household during this time Gopal and Mala start singing in temples and are spotted by Banne Khan who makes them stars by arranging their stage shows.After becoming successful Gopal and Mala's only which is to meet their mother but are unaware that she is also thrown out of the house buy his brothers and their wives.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNGM1MTRmNWQtY2U5Ni00YTM3LTlhMGItY2M1NjM0YzJlMzI3XkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.1/10""}]",N/A,6.1,92,tt0231214,movie,N/A,N/A,N/A,N/A,,,0010,jpg
