title,released_year,duration,genre,description
Waqt                                     ,1965,2h 58m  ,Drama          ,"Separated in childhood, three brothers come together in the courtroom. How will this reunion go?"
Badrinath Yatra                          ,1967,2h      ,Crime          ,"Satyavati's pilgrim to Badrinath gets cancelled due to her son's illicit acts. As his atrocious behaviour grows by the day, what will she do?"
Zameer                                   ,1975,2h 9m   ,Action         ,"Thakur Maharaj Singh loses his son during a robbery. Years later, a man named Chimpoo claims his right as his son. Will he turn out to be an impostor?"
Chhoti Si Baat                           ,1976,1h 58m  ,Comedy         ,"A shy Arun takes the help of a retired colonel to impress his lady love, Prabha. Will he succeed in his endeavours?"
Main Tulsi Tere Aangan Ki                ,1978,2h 26m  ,Drama          ,"Sanjukta wholeheartedly raises Ajay, her husband’s illegitimate son, as her own. All is well until property division creates a crack in relationships."
Nikaah                                   ,1982,2h 24m  ,Romance        ,Afaque falls for Nilofar but is left devastated when she marries another man. Things take a turn when Nilofar enters his life again after her divorce.
Ghar Dwaar                               ,1985,2h 23m  ,Family         ,"Savitri is humiliated at her in-laws' house. Unable to take it anymore, she vows revenge on her in-laws and decides to turn their home into a battleground."
Maa Beti                                 ,1987,2h 26m  ,Family         ,"Tired of her stepmother Lakshmi's ill-treatment, Meenu and her brother leave house. The tables turn when Lakshmi gets a taste of her own medicine."
Sagar Sangam                             ,1988,2h 39m  ,Crime          ,"Convicted in a case, criminal mastermind Gopi journeys towards his birthplace Devipur. As his trauma-filled past rears its head, he sets out to seek revenge."
Bade Ghar Ki Beti                        ,1989,2h 21m  ,Family         ,Poor girl Mala marries rich boy Gopal at the behest of his father. But her married life is far from smooth.
Shiva                                    ,1990,2h 41m  ,Action         ,"While the students' union president and thug club make the college climate ferocious, Shiva, a collegiate, is obliged to face them."
Deewana                                  ,1992,2h 37m  ,Romance        ,"A grieving widow Kajal crosses paths with Raja, who falls head over heels in love with her. But chaos ensues when her husband Ravi returns from the dead."
Hum Hain Rahi Pyar Ke                    ,1993,2h 37m  ,Comedy         ,"Rahul is the guardian of his mischievous nephews, Sunny and Vicky, and a niece, Munni. Chaos ensues when the kids decide to shelter a runaway girl, Vyjayanti."
Waqt Hamara Hai                          ,1993,2h 25m  ,Action         ,"Friends Vikas and Sunil plan a phoney kidnapping of their girlfriends, Ayesha and Mamta, which turns completely awry when a notorious terrorist intervenes."
Aflatoon,1994,1h 51m  ,Action         ,"A principled officer’s eldest son, Vikas is killed in a planned accident. While the family is grief-stricken, the younger son, Vishal goes rogue."
Coolie No. 1                             ,1995,2h 16m  ,Comedy         ,"When insulted by Choudhry Hoshiarchand, Shaadiram, a matchmaker gets a coolie to pose as a millionaire and marry Hoshiarchand’s daughter."
Haqeeqat                                 ,1995,2h 27m  ,Action         ,"Sudha, a widow, is rescued by Ajay from being molested. They fall in love and decide to get married. But is she making a terrible mistake?"
Gundaraj                                 ,1995,2h 19m  ,Action         ,Ajay is wrongly convicted as a rapist and sent to prison for seven years. After four years he’s out for good behaviour but seeks revenge.
Raja                                     ,1995,2h 31m  ,Drama          ,Raja and Madhu must fight for their love against her brothers. Can they win over hate with their love? - ok
Ziddi                                    ,1997,2h 29m  ,Action         ,Deva’s life is shattered when the police implicate him in the murder of his brother and sister. Will he be able to prove his innocence?
Hero No. 1                               ,1997,2h 13m  ,Comedy         ,"Much-in-love Rajesh and Meena decide to get married. When her parents object, Rajesh decides to win them over in the quirkiest way possible."
Ishq                                     ,1997,2h 36m  ,Comedy         ,"When Ajay and Madhu's rich dads oppose their relationship with Kajal and Raja because they are poor, the four rally behind their love and concoct ways to rebel."
Salaakhen                                ,1998,2h 41m  ,Action         ,"An ageing man testifies in a rape case, but the culprit’s family torments him to death. Soon, his son leads a war against unjust wherein revenge is inevitable."
Vinashak                                 ,1998,2h 12m  ,Action         ,"Arjun, an honest police officer, pose as a prisoner to expose illegal activities carried out by Lankeshwar, a jailor. But the task is not as easy as it seems."
Tholi Prema                              ,1998,2h 24m  ,Romance        ,"While Balu falls in love with Anu at first sight, she is oblivious to his feelings. However, he has to face a lot of challenges to win her heart."
Bade Miyan Chote Miyan                   ,1998,2h 20m  ,Comedy         ,"Unaware that their lookalikes are using their identities for petty thefts, honest cops Arjun Singh and Pyare Mohan are baffled. Can they catch the duplicates?"
Santan                                   ,1999,2h 10m  ,Drama          ,An elderly couple feels devastated when their children treat them as a burden. Things change for good when a young man comes to their rescue as a godsend.
Dil Kya Kare                             ,1999,2h 32m  ,Drama          ,"Anand, his wife, Kavita, and their only child, a daughter Neha are a happy family. Things turn upside down when Neha is stalked by a mysterious woman, Nandita."
Daag - The Fire                          ,1999,2h 41m  ,Action         ,"When Karan discovers that his father was wrongly jailed, which led to his suicide, he sets out to avenge him. But revenge is not easy."
Biwi No. 1                               ,1999,2h 12m  ,Comedy         ,"Pooja's happiness is threatened when her husband cheats on her and moves in with a hot model. To get him back in line, she decides to get even in her own way."
Shool                                    ,1999,1h 40m  ,Crime          ,"Samar, an honest cop, must deal with a brutal and lawless system created by Bachchu Yadav, who threatens his integrity."
Arjun Pandit                             ,1999,2h 19m  ,Thriller       ,"Arjun keeps mum on a crime he witnessed. He falls in love with Nisha. But when he finds himself betrayed by her, he sets out on a path of violence."
GodMother                                ,1999,1h 43m  ,Crime          ,"Rambhi and her husband Veeru leave their village for work. But, by viciousness and extortion, their life changes radically as they join a group of criminals."
Dulhan Hum Le Jayenge                    ,2000,2h 12m  ,Romance        ,"Raised by three eccentric uncles, Sapna is pampered and protected. Unaware that Sapna is in love with Raja, the three set out to find a suitor for her."
Hadh Kar Di Aapne                        ,2000,2h 13m  ,Comedy         ,"Anjali and Raj meet in Europe and fall in love, unaware that they are spying on each other for their best friends."
Kahin Pyaar Na Ho Jaaye                  ,2000,2h 38m  ,Comedy         ,"Prem, an aspiring pop star is abandoned by Nisha on their wedding day. Later, he meets Priya, a videographer and a new relationship blossoms."
Bichhoo,2000,2h 26m  ,Action         ,"Jeeva takes Kiran under his wing and trains her to handle weapons to avenge the death of her family. In the process, Jeeva confronts his haunting past."
Kyo Kii... Main Jhuth Nahin Bolta        ,2001,2h 30m  ,Comedy         ,"Raj, a lawyer, has no qualms about lying through his teeth to win cases. However, his behaviour takes a U-turn one day when he can't stop speaking the truth."
Lajja                                    ,2001,3h 6m   ,Action         ,"Tormented by her abusive husband, Vaidehi decides to escape her marriage. After meeting three courageous women, she leads a fight against male chauvinism."
Rehnaa Hai Terre Dil Mein                ,2001,2h 37m  ,Romance        ,"Ready to go to any lengths to win over Reena, Maddy impersonates Rajeev, Reena’s to be fiancé. Will Reena discover the truth?"
Nuvvu Naaku Nachav                       ,2001,2h 59m  ,Romance        ,"Venky, an unemployed youth, heads to Hyderabad to attend a wedding. A brief vacation gradually turns into something more as the soon-to-be bride falls for him."
Mujhe Kuch Kehna Hai                     ,2001,2h 15m  ,Romance        ,"Karan is instantly smitten with Pooja. Painfully shy, he can't express his feelings to her, but fate makes them meet repeatedly. Can he ever profess his love?"
Pyaar Tune Kya Kiya                      ,2001,1h 36m  ,Thriller       ,"Jai, a photographer, meets headstrong Ria. Unaware of his marital status, she falls for him. Soon her love takes an obsessive turn."
Om Jai Jagdish                           ,2002,2h 30m  ,Family         ,"Circumstances force three brothers to go their separate ways, but when their ancestral house is being auctioned they join forces."
