title,released_year,duration,genre,description,Rated,Released,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,Type,BoxOffice,totalSeasons,imageid,format
Waqt,1965,2h 58m,Drama,"Separated in childhood, three brothers come together in the courtroom. How will this reunion go?",,28 Jul 1965,178 min,Yash Chopra,"Akhtar Mirza, Akhtar-Ul-Iman","Sunil Dutt, Sadhana Shivdasani, Raaj Kumar","Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected.",Hindi,India,5 wins & 2 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}]",7.6,"1,555",tt0059893,movie,,,1,
Waqt,1965,2h 58m,Romance,"Separated in childhood, three brothers come together in the courtroom. How will this reunion go?",,28 Jul 1965,178 min,Yash Chopra,"Akhtar Mirza, Akhtar-Ul-Iman","Sunil Dutt, Sadhana Shivdasani, Raaj Kumar","Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected.",Hindi,India,5 wins & 2 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}]",7.6,"1,555",tt0059893,movie,,,1,
Badrinath Yatra,1967,2h,Crime,"Satyavati's pilgrim to Badrinath gets cancelled due to her son's illicit acts. As his atrocious behaviour grows by the day, what will she do?",,01 Jan 1967,140 min,Dhirubhai Desai,"Dhirubhai Desai, Pandit Raj Yogi","Nirupa Roy, Abhi Bhattacharya, Indira","Due to her son's, Devdutt's arrest, Satyavati is unable to take the Badrinath Yatra. Subsequently, he starts to frequent a brothel to visit with a courtesan, Chandravati, and virtually refuses to do anything with his pregnant wife, Sheila. He even drinks alcohol, and assaults his father, Jaggannath, and brother, Sridhar. Things get even worse when he blinds his mother, lets Chandravati and her entourage move in their family home, and asks Sheila to serve the courtesan.",Hindi,India,,[],,11,tt0213476,movie,,,2,
Badrinath Yatra,1967,2h,Drama,"Satyavati's pilgrim to Badrinath gets cancelled due to her son's illicit acts. As his atrocious behaviour grows by the day, what will she do?",,01 Jan 1967,140 min,Dhirubhai Desai,"Dhirubhai Desai, Pandit Raj Yogi","Nirupa Roy, Abhi Bhattacharya, Indira","Due to her son's, Devdutt's arrest, Satyavati is unable to take the Badrinath Yatra. Subsequently, he starts to frequent a brothel to visit with a courtesan, Chandravati, and virtually refuses to do anything with his pregnant wife, Sheila. He even drinks alcohol, and assaults his father, Jaggannath, and brother, Sridhar. Things get even worse when he blinds his mother, lets Chandravati and her entourage move in their family home, and asks Sheila to serve the courtesan.",Hindi,India,,[],,11,tt0213476,movie,,,2,
Zameer,1975,2h 9m,Action,"Thakur Maharaj Singh loses his son during a robbery. Years later, a man named Chimpoo claims his right as his son. Will he turn out to be an impostor?",,21 Mar 1975,136 min,Ravi Chopra,"Akhtar-Ul-Iman, C.J. Pavri","Shammi Kapoor, Saira Banu, Amitabh Bachchan","Multi-millionaire Thakur Maharaj Singh owns a stud-farm with several derby-winning stallions. Unfortunately for him his farm is soon attacked by Bandit, Maan Singh and his gang forcing Maharaj to retaliate killing the son of the Daku. In order to avenge this Maan Singh decides to abduct the son of Maharaj, Chimpoo. Years later a young man enters the lives of the Singhs claiming to be Chimpoo; while Maharaj and his wife, Rukmini is happy in having Chimpoo back; they are unaware that this young man is actually a convict, Badal who is impersonating Chimpoo with the intention of pocketing their wealth. Situations change Badal and he decides to reveal his true identity to the Singhs who also promises to re-unite the family with their son, Chimpoo.",Hindi,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.0/10""}]",6.0,418,tt0073924,movie,,,3,jpg
Zameer,1975,2h 9m,Drama,"Thakur Maharaj Singh loses his son during a robbery. Years later, a man named Chimpoo claims his right as his son. Will he turn out to be an impostor?",,21 Mar 1975,136 min,Ravi Chopra,"Akhtar-Ul-Iman, C.J. Pavri","Shammi Kapoor, Saira Banu, Amitabh Bachchan","Multi-millionaire Thakur Maharaj Singh owns a stud-farm with several derby-winning stallions. Unfortunately for him his farm is soon attacked by Bandit, Maan Singh and his gang forcing Maharaj to retaliate killing the son of the Daku. In order to avenge this Maan Singh decides to abduct the son of Maharaj, Chimpoo. Years later a young man enters the lives of the Singhs claiming to be Chimpoo; while Maharaj and his wife, Rukmini is happy in having Chimpoo back; they are unaware that this young man is actually a convict, Badal who is impersonating Chimpoo with the intention of pocketing their wealth. Situations change Badal and he decides to reveal his true identity to the Singhs who also promises to re-unite the family with their son, Chimpoo.",Hindi,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.0/10""}]",6.0,418,tt0073924,movie,,,3,jpg
Chhoti Si Baat,1976,1h 58m,Comedy,"A shy Arun takes the help of a retired colonel to impress his lady love, Prabha. Will he succeed in his endeavours?",,09 Jan 1976,123 min,Basu Chatterjee,,"Ashok Kumar, Vidya Sinha, Amol Palekar","A shy Arun works as an accountant.On daily basis he travels by a bus to office where he sees Prabha who works in the same premises.Arun starts to like Prabha and follows her frequently but hasn't got the confidence in him to approach her.When ever Arun gains confidence to share about his feelings to Prabha her friend Nagesh steps in spoiling Arun's plans.In order to win his love for Prabha ,Arun travels all the way to Lonavala to take the help of expert Colonel Julius Naganderanath Wilfred Singh. During this phase Prabha to starts missing Arun.",Hindi,India,2 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.3/10""}]",8.3,"4,645",tt0072777,movie,,,4,jpg
Chhoti Si Baat,1976,1h 58m,Romance,"A shy Arun takes the help of a retired colonel to impress his lady love, Prabha. Will he succeed in his endeavours?",,09 Jan 1976,123 min,Basu Chatterjee,,"Ashok Kumar, Vidya Sinha, Amol Palekar","A shy Arun works as an accountant.On daily basis he travels by a bus to office where he sees Prabha who works in the same premises.Arun starts to like Prabha and follows her frequently but hasn't got the confidence in him to approach her.When ever Arun gains confidence to share about his feelings to Prabha her friend Nagesh steps in spoiling Arun's plans.In order to win his love for Prabha ,Arun travels all the way to Lonavala to take the help of expert Colonel Julius Naganderanath Wilfred Singh. During this phase Prabha to starts missing Arun.",Hindi,India,2 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.3/10""}]",8.3,"4,645",tt0072777,movie,,,4,jpg
Main Tulsi Tere Aangan Ki,1978,2h 26m,Drama,"Sanjukta wholeheartedly raises Ajay, her husband’s illegitimate son, as her own. All is well until property division creates a crack in relationships.",,04 Aug 1978,151 min,Raj Khosla,"Raj Bharti, Chandrakant Kakodkar, G.R. Kamath","Nutan, Asha Parekh, Vijay Anand","Thakur Rajnath Singh Chouhan, an aristocrat loves dearly a former prostitute, Tulsi and wishes to marry her. His mother vehemently opposes the alliance. In a spirit of self denial, Tulsi pressurizes Thakur Rajnath to marry the aristocratic Sanjukta, his mother's choice. Thakur Rajnath marries Sanjukta but his heart is pledged to Tulsi. Sanjukta learns of Tulsi's existence and after a confrontation Tulsi agrees to remove herself from the scene. A son Ajay was born and Tulsi dies. Sajnjukta realizes the enormity of Tulsi's sacrifices and pledges to deliver justice to her husband's illegitimate son, even after the accidental demise of Rajnath. Pratap, the son of Sanjukta and Rajnath grows up to be a dissolute spendthrift, frequenting a house of ill repute and flirting with the women of the village. Enter Ajay, now grown up into a personable and competent man; Sanjukta gives him all the love, respect and trust given to a first born. She is utterly shocked to see proof that Ajay has been embezzling money from their business, stolen money from the palace, pays huge sums of money to a Madame for the services of a woman and gets a village girl pregnant. Now what are Sanjukta's choices? Shall she disinherit him and welsh on her pledge?",Hindi,India,3 wins & 5 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.6/10""}]",6.6,171,tt0151466,movie,,,5,jpg
Main Tulsi Tere Aangan Ki,1978,2h 26m,Family,"Sanjukta wholeheartedly raises Ajay, her husband’s illegitimate son, as her own. All is well until property division creates a crack in relationships.",,04 Aug 1978,151 min,Raj Khosla,"Raj Bharti, Chandrakant Kakodkar, G.R. Kamath","Nutan, Asha Parekh, Vijay Anand","Thakur Rajnath Singh Chouhan, an aristocrat loves dearly a former prostitute, Tulsi and wishes to marry her. His mother vehemently opposes the alliance. In a spirit of self denial, Tulsi pressurizes Thakur Rajnath to marry the aristocratic Sanjukta, his mother's choice. Thakur Rajnath marries Sanjukta but his heart is pledged to Tulsi. Sanjukta learns of Tulsi's existence and after a confrontation Tulsi agrees to remove herself from the scene. A son Ajay was born and Tulsi dies. Sajnjukta realizes the enormity of Tulsi's sacrifices and pledges to deliver justice to her husband's illegitimate son, even after the accidental demise of Rajnath. Pratap, the son of Sanjukta and Rajnath grows up to be a dissolute spendthrift, frequenting a house of ill repute and flirting with the women of the village. Enter Ajay, now grown up into a personable and competent man; Sanjukta gives him all the love, respect and trust given to a first born. She is utterly shocked to see proof that Ajay has been embezzling money from their business, stolen money from the palace, pays huge sums of money to a Madame for the services of a woman and gets a village girl pregnant. Now what are Sanjukta's choices? Shall she disinherit him and welsh on her pledge?",Hindi,India,3 wins & 5 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.6/10""}]",6.6,171,tt0151466,movie,,,5,jpg
